rank,journal_name_raw,journal_name_standard,match_note,cas_2025_zone,cas_2025_top,cas_2025_oa,cas_2025_major_category,cas_2025_minor_category_reference,jcr_2024_jif,jcr_2024_quartile,issn,eissn,publisher,xr_2026_zone,xr_2026_top,xr_2026_major_category,xr_2026_minor_category_reference,source_note
18,Journal of Business Research,JOURNAL OF BUSINESS RESEARCH,,Zone 1,是,否,管理学,BUSINESS(SSCI),9.8,Q1,,,,Zone 1,Yes,Management Science,BUSINESS(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
19,Social Science & Medicine,SOCIAL SCIENCE & MEDICINE,,Zone 2,是,否,医学,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI)",5.0,Q1,,,,Zone 2,Yes,Medicine,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
20,Energy Economics,ENERGY ECONOMICS,,Zone 1,是,否,经济学,ECONOMICS(SSCI),14.2,Q1,01409883,-,Elsevier B.V.,Zone 1,Yes,Economics,ECONOMICS(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
21,BMC Women's Health,BMC WOMENS HEALTH,,Zone 3,否,是,医学,"OBSTETRICS & GYNECOLOGY(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",2.7,Q1,,,,Zone 2,No,Medicine,"OBSTETRICS & GYNECOLOGY(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
22,Systems,SYSTEMS,,Zone 4,否,是,社会学,"SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",3.1,Q1,-,20798954,Multidisciplinary Digital Publishing Institute (MDPI),Zone 3,No,Social Sciences,"SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
23,Digital Health,DIGITAL HEALTH,,Zone 3,否,是,医学,"HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI);MEDICAL INFORMATICS(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",3.3,Q1,,,,Zone 3,No,Medicine,"HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI);MEDICAL INFORMATICS(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
24,Applied Economics,APPLIED ECONOMICS,,Zone 4,否,否,经济学,ECONOMICS(SSCI),2.1,Q2,,,,Zone 3,No,Economics,ECONOMICS(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
25,Journal of the Knowledge Economy,Journal of the Knowledge Economy,user_confirmed_name_not_found_in_current_local_cas_xr,,,,,,,,,,,,,,,CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
26,International Review of Financial Analysis,INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,,Zone 2,是,否,经济学,"BUSINESS, FINANCE(SSCI)",9.8,Q1,,,,Zone 1,Yes,Economics,"BUSINESS, FINANCE(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
27,Children and Youth Services Review,CHILDREN AND YOUTH SERVICES REVIEW,,Zone 3,否,否,社会学,FAMILY STUDIES(SSCI);SOCIAL WORK(SSCI),1.7,Q1,,,,Zone 3,No,Social Sciences,FAMILY STUDIES(SSCI);SOCIAL WORK(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
28,Psychiatry Research,PSYCHIATRY RESEARCH,,Zone 3,否,否,医学,"PSYCHIATRY(SCIE, SSCI)",3.9,Q1,,,,Zone 2,No,Medicine,"PSYCHIATRY(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
29,Cities,CITIES,,Zone 1,是,否,经济学,URBAN STUDIES(SSCI),6.6,Q1,,,,Zone 1,Yes,Economics,URBAN STUDIES(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
30,International Journal of Human-Computer Interaction,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,,Zone 3,否,否,计算机科学,"COMPUTER SCIENCE, CYBERNETICS(SCIE);ERGONOMICS(SSCI)",4.9,Q1,10447318,15327590,Taylor and Francis Ltd.,Zone 2,Yes,Computer Science,"COMPUTER SCIENCE, CYBERNETICS(SCIE);ERGONOMICS(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
31,BMC Nursing,BMC NURSING,,Zone 2,否,是,医学,"NURSING(SCIE, SSCI)",3.9,Q1,,,,Zone 2,Yes,Medicine,"NURSING(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
32,Journal of Psychiatric Research,JOURNAL OF PSYCHIATRIC RESEARCH,,Zone 2,否,否,医学,"PSYCHIATRY(SCIE, SSCI)",3.2,Q2,,,,Zone 2,No,Medicine,"PSYCHIATRY(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
33,Management Science,MANAGEMENT SCIENCE,,Zone 2,否,否,管理学,MANAGEMENT(SSCI);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE),4.9,Q1,00251909,15265501,INFORMS Inst.for Operations Res.and the Management Sciences,Zone 1,Yes,Management Science,MANAGEMENT(SSCI);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
34,Disability and Rehabilitation,DISABILITY AND REHABILITATION,,Zone 4,否,否,医学,"REHABILITATION(SCIE, SSCI)",2.0,Q2,,,,Zone 3,No,Medicine,"REHABILITATION(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
35,Energy Policy,ENERGY POLICY,,Zone 2,是,否,经济学,ECONOMICS(SSCI);ENERGY & FUELS(SCIE);ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI),9.2,Q1,03014215,-,Elsevier Ltd,Zone 1,Yes,Economics,ECONOMICS(SSCI);ENERGY & FUELS(SCIE);ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
36,BMC Psychology,BMC PSYCHOLOGY,,Zone 3,否,是,心理学,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",3.0,Q1,,,,Zone 2,No,Psychology,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
37,Journal of Advanced Nursing,JOURNAL OF ADVANCED NURSING,,Zone 2,否,否,医学,"NURSING(SCIE, SSCI)",3.4,Q1,,,,Zone 2,No,Medicine,"NURSING(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
38,Economics Letters,ECONOMICS LETTERS,,Zone 4,否,否,经济学,ECONOMICS(SSCI),1.8,Q2,,,,Zone 3,No,Economics,ECONOMICS(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
39,Nursing Open,NURSING OPEN,,Zone 4,否,是,医学,"NURSING(SCIE, SSCI)",2.3,Q1,,,,Zone 3,No,Medicine,"NURSING(SCIE, SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
40,Synthese,SYNTHESE,,Zone 2,是,否,哲学,"HISTORY & PHILOSOPHY OF SCIENCE(AHCI, SCIE, SSCI);PHILOSOPHY(AHCI)",1.3,Q1,,,,Zone 3,No,Philosophy,"HISTORY & PHILOSOPHY OF SCIENCE(AHCI, SCIE, SSCI);PHILOSOPHY(AHCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
41,Marine Policy,MARINE POLICY,,Zone 2,否,否,社会学,ENVIRONMENTAL STUDIES(SSCI);INTERNATIONAL RELATIONS(SSCI),3.7,Q1,,,,Zone 2,Yes,Social Sciences,ENVIRONMENTAL STUDIES(SSCI);INTERNATIONAL RELATIONS(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
42,Land Use Policy,LAND USE POLICY,,Zone 1,是,否,社会学,ENVIRONMENTAL STUDIES(SSCI),5.9,Q1,,,,Zone 1,Yes,Social Sciences,ENVIRONMENTAL STUDIES(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
